Empresa_LE,Especie_LE,Código Centro_LE,Periodo Información_1er Semestre 2023,Periodo Información_1er Semestre 2024,Periodo Información_2do Semestre 2023,Periodo Información_nan,ciclo_dias,Toneladas Cosechadas
22,5,53,0.0,0.0,1.0,0.0,394.0,5421019.0
5,5,59,0.0,0.0,1.0,0.0,90.0,13.0
34,4,62,0.0,0.0,1.0,0.0,274.0,4110003.0
26,4,73,0.0,0.0,1.0,0.0,334.0,3223114.0
10,5,81,0.0,0.0,1.0,0.0,487.0,553629.0
15,4,83,0.0,0.0,1.0,0.0,364.0,5375953.0
22,4,85,0.0,0.0,1.0,0.0,333.0,6312004.0
5,5,86,0.0,0.0,1.0,0.0,90.0,1457.0
22,5,88,0.0,0.0,1.0,0.0,425.0,7445926.0
5,5,89,0.0,0.0,1.0,0.0,90.0,586.0
22,5,91,0.0,0.0,1.0,0.0,395.0,4722709.0
22,4,96,0.0,0.0,1.0,0.0,274.0,3020486.0
12,5,98,0.0,0.0,1.0,0.0,487.0,3721575.0
22,4,99,0.0,0.0,1.0,0.0,211.0,1356675.0
5,5,105,0.0,0.0,1.0,0.0,425.0,2678713.0
29,5,120,0.0,0.0,1.0,0.0,394.0,4383162.0
22,4,127,0.0,0.0,1.0,0.0,241.0,2279253.0
9,6,137,0.0,0.0,1.0,0.0,60.0,12903.0
9,6,139,0.0,0.0,1.0,0.0,91.0,9504.0
9,6,141,0.0,0.0,1.0,0.0,333.0,1861001.0
10,5,143,0.0,0.0,1.0,0.0,578.0,4606265.0
34,4,148,0.0,0.0,1.0,0.0,305.0,6736108.0
35,4,154,0.0,0.0,1.0,0.0,303.0,3622943.0
9,6,156,0.0,0.0,1.0,0.0,882.0,7275.0
9,6,157,0.0,0.0,1.0,0.0,91.0,885.0
35,4,158,0.0,0.0,1.0,0.0,303.0,3487199.0
15,4,161,0.0,0.0,1.0,0.0,274.0,2243791.0
25,6,164,0.0,0.0,1.0,0.0,426.0,5559398.0
13,5,166,0.0,0.0,1.0,0.0,486.0,4512118.0
13,5,170,0.0,0.0,1.0,0.0,456.0,6636135.0
2,5,171,0.0,0.0,1.0,0.0,1064.0,3765349.0
6,4,183,0.0,0.0,1.0,0.0,273.0,3065804.0
11,5,188,0.0,0.0,1.0,0.0,456.0,2756183.0
5,5,195,0.0,0.0,1.0,0.0,120.0,2235.0
11,5,199,0.0,0.0,1.0,0.0,395.0,2735397.0
17,5,205,0.0,0.0,1.0,0.0,426.0,5141086.0
13,4,221,0.0,0.0,1.0,0.0,395.0,3196431.0
24,6,223,0.0,0.0,1.0,0.0,395.0,3206757.0
16,5,228,0.0,0.0,1.0,0.0,487.0,3828997.0
34,5,233,0.0,0.0,1.0,0.0,456.0,637519.0
17,5,235,0.0,0.0,1.0,0.0,517.0,3811203.0
17,5,245,0.0,0.0,1.0,0.0,395.0,3305425.0
24,6,253,0.0,0.0,1.0,0.0,183.0,14566.0
17,5,254,0.0,0.0,1.0,0.0,425.0,3248015.0
10,5,255,0.0,0.0,1.0,0.0,517.0,4002378.0
25,6,256,0.0,0.0,1.0,0.0,486.0,7343411.0
7,4,282,0.0,0.0,1.0,0.0,302.0,2392688.0
20,4,290,0.0,0.0,1.0,0.0,274.0,724496.0
13,4,292,0.0,0.0,1.0,0.0,334.0,3114718.0
28,5,298,0.0,0.0,1.0,0.0,364.0,3436655.0
13,4,306,0.0,0.0,1.0,0.0,120.0,333.0
12,5,312,0.0,0.0,1.0,0.0,486.0,4503258.0
28,5,320,0.0,0.0,1.0,0.0,456.0,2425879.0
13,5,321,0.0,0.0,1.0,0.0,394.0,3979549.0
29,5,329,0.0,0.0,1.0,0.0,425.0,3948765.0
13,5,338,0.0,0.0,1.0,0.0,425.0,2428566.0
13,4,346,0.0,0.0,1.0,0.0,152.0,4074.0
13,4,352,0.0,0.0,1.0,0.0,152.0,661.0
8,5,353,0.0,0.0,1.0,0.0,456.0,2985248.0
17,5,356,0.0,0.0,1.0,0.0,456.0,5348462.0
13,5,359,0.0,0.0,1.0,0.0,425.0,370421.0
13,5,367,0.0,0.0,1.0,0.0,394.0,4117951.0
34,4,369,0.0,0.0,1.0,0.0,303.0,3769501.0
13,5,375,0.0,0.0,1.0,0.0,425.0,3773601.0
32,5,376,0.0,0.0,1.0,0.0,426.0,4526152.0
13,5,379,0.0,0.0,1.0,0.0,456.0,3362478.0
